7.65,8.93,7.08,9.07,6.38,8.04,6.23,7.08,8.56,9.53,8.04,8.93,6.23,8.56,6.83,7.65
2.26,3.03,2.03,3.83,1.78,1.65,2,2.03,1.93,2.61,1.65,3.03,1.2,1.93,1.78,2.26
1.69,1.32,1.46,1.03,1.07,1.43,1.08,1.46,1.32,1.2,1.43,1.32,0.72,1.32,1.07,1.69
0.026,0.036,0.031,0.033,0.016,0.026,0.014,0.031,0.025,0.025,0.026,0.036,0.017,0.025,0.016,0.026
0.02,0.023,0.019,0.022,0.017,0.019,0.016,0.019,0.02,0.026,0.019,0.023,0.016,0.02,0.017,0.02
0.038,0.038,0.037,0.036,0.025,0.042,0.026,0.037,0.038,0.036,0.042,0.038,0.018,0.038,0.025,0.038
